Tempo (s),Posicao (rad),controle
127.41663670539856,0.09988190476190464,0
127.91587138175964,0.002990476190476185,0.7476190476190462
128.4158263206482,-0.0002990476190476246,0.07476190476190615
128.9164743423462,-0.0002990476190476246,0.07476190476190615
129.41669845581055,-0.0002990476190476246,0.07476190476190615
129.91589069366455,-0.0002990476190476246,0.07476190476190615
130.41601490974426,-0.0002990476190476246,0.07476190476190615
130.91680526733398,-0.0002990476190476246,0.07476190476190615
131.41643238067627,-0.0002990476190476246,0.07476190476190615
131.91656851768494,-0.0002990476190476246,0.07476190476190615
132.41643476486206,-0.0002990476190476246,0.07476190476190615
132.91606092453003,0.04994095238095257,0
133.41663122177124,0.04994095238095257,0
133.91597080230713,0.04994095238095257,0
134.41623258590698,0.04994095238095257,0
134.9165017604828,0.04994095238095257,0
135.41576218605042,0.04994095238095257,0
135.91604661941528,0.04994095238095257,0
136.4163625240326,0.04994095238095257,0
136.91571187973022,0.04994095238095257,0
137.41602063179016,0.04994095238095257,0
137.91646337509155,0.04994095238095257,0
138.41575384140015,0.04994095238095257,0
138.91604614257812,0.04994095238095257,0
139.41630291938782,0.04994095238095257,0
139.9165735244751,0.04994095238095257,0
140.41583442687988,0.04994095238095257,0
140.91609644889832,0.04994095238095257,0
141.41637063026428,0.04994095238095257,0
141.91589546203613,0.04994095238095257,0
142.41629266738892,0.04994095238095257,0
142.91662001609802,0.04994095238095257,0
143.4158833026886,0.04994095238095257,0
143.91639518737793,0.04994095238095257,0
144.41569137573242,0.04994095238095257,0
144.915997505188,0.04994095238095257,0
145.41625905036926,0.04994095238095257,0
145.91654658317566,0.04994095238095257,0
146.41585397720337,0.04994095238095257,0
146.9161581993103,0.04994095238095257,0
147.4164650440216,0.04994095238095257,0
147.9158227443695,0.04994095238095257,0
148.41609144210815,0.04994095238095257,0
148.91637682914734,0.04994095238095257,0
149.41664338111877,0.04994095238095257,0
149.91606736183167,0.04994095238095257,0
150.41635012626648,0.04994095238095257,0
150.91663098335266,0.04994095238095257,0
151.41593885421753,0.04994095238095257,0
151.91630363464355,0.04994095238095257,0
152.41656708717346,0.04994095238095257,0
152.91590642929077,0.04994095238095257,0
153.41620516777039,0.04994095238095257,0
153.91650676727295,0.04994095238095257,0
154.4157736301422,0.04994095238095257,0
154.9160225391388,0.04994095238095257,0
155.416339635849,0.04994095238095257,0
155.91574501991272,0.04994095238095257,0
156.41607689857483,0.04994095238095257,0
156.91636562347412,0.04994095238095257,0
157.41570591926575,0.04994095238095257,0
157.9159836769104,0.04994095238095257,0
158.41622066497803,0.04994095238095257,0
158.9164674282074,0.04994095238095257,0
159.41574597358704,0.04994095238095257,0
159.91598749160767,0.04994095238095257,0
160.41625356674194,0.04994095238095257,0
160.91650772094727,0.04994095238095257,0
161.4158058166504,0.04994095238095257,0
161.91631627082825,0.04994095238095257,0
162.4166750907898,0.04994095238095257,0
162.91589784622192,0.04994095238095257,0
163.41618418693542,0.04994095238095257,0
163.91643118858337,0.04994095238095257,0
164.41566109657288,0.04994095238095257,0
164.91590547561646,0.04994095238095257,0
165.4161720275879,0.04994095238095257,0
165.91643142700195,0.04994095238095257,0
166.4157054424286,0.04994095238095257,0
166.91594910621643,0.04994095238095257,0
167.41625332832336,0.04994095238095257,0
167.9157111644745,0.04994095238095257,0
168.41601181030273,0.04994095238095257,0
168.9162895679474,0.04994095238095257,0
169.41656589508057,0.04994095238095257,0
169.9157919883728,0.04994095238095257,0
170.41606760025024,0.04994095238095257,0
170.9163477420807,0.04994095238095257,0
171.41662883758545,0.04994095238095257,0
171.91588950157166,0.04994095238095257,0
172.41615295410156,0.04994095238095257,0
172.9164378643036,0.04994095238095257,0
173.4157269001007,0.04994095238095257,0
173.91613578796387,0.04994095238095257,0
174.41643142700195,0.04994095238095257,0
174.91569137573242,0.04994095238095257,0
175.41596817970276,0.04994095238095257,0
175.91622138023376,0.04994095238095257,0
176.4164915084839,0.04994095238095257,0
176.91575479507446,0.04994095238095257,0
177.41619563102722,0.04994095238095257,0
177.91649270057678,0.04994095238095257,0
178.41577553749084,0.04994095238095257,0
178.91599798202515,0.04994095238095257,0
179.41621351242065,0.04994095238095257,0
179.91663789749146,0.04994095238095257,0
180.4159233570099,0.04994095238095257,0
180.91622304916382,0.04994095238095257,0
181.41650891304016,0.04994095238095257,0
181.91580843925476,0.04994095238095257,0
182.41608262062073,0.04994095238095257,0
182.91639518737793,0.04994095238095257,0
183.41569185256958,0.04994095238095257,0
183.91595554351807,0.04994095238095257,0
184.4162015914917,0.04994095238095257,0
184.91647243499756,0.04994095238095257,0
185.41572618484497,0.04994095238095257,0
185.91611456871033,0.04994095238095257,0
186.41641807556152,0.04994095238095257,0
186.9157269001007,0.04994095238095257,0
187.41601014137268,0.04994095238095257,0
187.91629791259766,0.04994095238095257,0
188.41654658317566,0.04994095238095257,0
188.9158070087433,0.04994095238095257,0
189.4160578250885,0.04994095238095257,0
189.91633200645447,0.04994095238095257,0
190.4165756702423,0.04994095238095257,0
190.91584396362305,0.04994095238095257,0
191.41611504554749,0.04994095238095257,0
191.91649079322815,0.04994095238095257,0
192.41579842567444,0.04994095238095257,0
192.91606402397156,0.04994095238095257,0
193.41632914543152,0.04994095238095257,0
193.9166181087494,0.04994095238095257,0
194.41586089134216,0.04994095238095257,0
194.91611409187317,0.04994095238095257,0
195.4163749217987,0.04994095238095257,0
195.91662979125977,0.04994095238095257,0
196.4158980846405,0.04994095238095257,0
196.91613793373108,0.04994095238095257,0
197.41644525527954,0.04994095238095257,0
197.9158480167389,0.04994095238095257,0
198.41619157791138,0.04994095238095257,0
198.9164752960205,0.04994095238095257,0
199.4157693386078,0.04994095238095257,0
199.91604900360107,0.04994095238095257,0
200.41630625724792,0.04994095238095257,0
200.91655349731445,0.04994095238095257,0
201.4158227443695,0.04994095238095257,0
201.916100025177,0.04994095238095257,0
202.41647005081177,0.04994095238095257,0
202.91574001312256,0.04994095238095257,0
203.41602206230164,0.04994095238095257,0
203.9164845943451,0.04994095238095257,0
204.4157841205597,0.04994095238095257,0
204.91603589057922,0.04994095238095257,0
205.4163384437561,0.04994095238095257,0
205.91661834716797,0.04994095238095257,0
206.4159083366394,0.04994095238095257,0
206.9161479473114,0.04994095238095257,0
207.41645908355713,0.04994095238095257,0
207.91572189331055,0.04994095238095257,0
208.41598677635193,0.04994095238095257,0
208.9162347316742,0.04994095238095257,0
209.4164662361145,0.04994095238095257,0
209.91588020324707,0.04994095238095257,0
210.41624307632446,0.04994095238095257,0
210.9166135787964,0.04994095238095257,0
211.41593313217163,0.04994095238095257,0
211.91622757911682,0.04994095238095257,0
212.41653728485107,0.04994095238095257,0
212.91581678390503,0.04994095238095257,0
213.41607856750488,0.04994095238095257,0
213.91635417938232,0.04994095238095257,0
214.41661167144775,0.04994095238095257,0
214.91588187217712,0.04994095238095257,0
215.4161319732666,0.04994095238095257,0
215.91653847694397,0.04994095238095257,0
216.41578459739685,0.04994095238095257,0
216.91601252555847,0.04994095238095257,0
217.41633534431458,0.04994095238095257,0
217.91664004325867,0.04994095238095257,0
218.41588306427002,0.04994095238095257,0
218.9160976409912,0.04994095238095257,0
219.41633462905884,0.04994095238095257,0
219.91659307479858,0.04994095238095257,0
220.41582584381104,0.04994095238095257,0
220.9160737991333,0.04994095238095257,0
221.41635274887085,0.04994095238095257,0
221.91573214530945,0.04994095238095257,0
222.41603350639343,0.04994095238095257,0
222.91632986068726,0.04994095238095257,0
223.4165871143341,0.04994095238095257,0
223.91585445404053,0.04994095238095257,0
224.41609978675842,0.04994095238095257,0
224.91634702682495,0.04994095238095257,0
225.41657376289368,0.04994095238095257,0
225.9158489704132,0.04994095238095257,0
226.41610193252563,0.04994095238095257,0
226.9163258075714,0.04994095238095257,0
227.41661643981934,0.04994095238095257,0
227.96632170677185,0.04994095238095257,0
228.46661972999573,0.04994095238095257,0
228.96638679504395,0.04994095238095257,0
229.46655297279358,0.04994095238095257,0
